「夏の思い出」の作詞者を漢字で？,江間章子
「夏の思い出」の作曲者を漢字で？,中田喜直
「夏の思い出」の拍子として正しいものを選びなさい。　ア：4分の3拍子　　イ：4分の4拍子　　ウ：8分の6拍子　　エ：2分の2拍子？,イ
「夏の思い出」の調は何調か選べ　ア：ハ長調　　　イ：ヘ長調　　　ウ：ニ長調　　　エ：変ホ長調？,ウ
「夏の思い出」の曲の形式は？,二部形式
「夏の思い出」で歌われている湿原地帯の名前を漢字4字で答えなさい。？,尾瀬ヶ原
音楽記号：ppの読み方は？,ピアニッシモ
音楽記号：ppの意味は？,非常に弱く
音楽記号：dimの読み方は？,ディミヌエンド
音楽記号：dimの意味は？,だんだん弱く
読み方は？,フェルマータ,IMG_9350.png
意味は？,ほどよく伸ばす,IMG_9350.png
「夏の思い出」の歌詞に出てくる語句について、「小径」　細い道、小さな道という意味で　読み方は？,こみち
「夏の思い出」の歌詞に出てくる語句について、「水芭蕉」　読み方は？,みずばしょう
「夏の思い出」の歌詞に出てくる語句について、「石楠花」　読み方は？,しゃくなげ
「夏の思い出」の歌詞に出てくる語句について、「辺り」　読み方は？,ほとり
「石楠花色」とはどのような色か？,薄いピンク
「浮き島」とはどのようなものか、正しいものを選びなさい。　　ア：陸地から遠く離れたところにある小島　　イ：湖や湿原などに浮かぶ植物や泥が、島のように見えるもの　　ウ：湖で羽を休めて浮かんでいる水鳥の姿　　エ：遠くの山が湖に島のように映っているもの？,イ
「夏の思い出」の拍子は何分の何拍子ですか？,4分の４拍子
「夏の思い出」の調は何調か？,変ロ長調
合唱曲として編曲された「夏の思い出」の合唱形態は？,混声三部合唱
記号アの読み方は？,メッゾフォルテ,og001.png
記号アの意味は？,少し強く,og001.png
イの音符は何とよばれるか？,三連符,og001.png
イの音符の意味を「四分音符」という言葉を使い答えYO？,四分音符を三等分する,og001.png
イの音符の長さは何音符同じか？,四分音符,og001.png
記号ウの読み方は？,ナチュラル,og001.png
記号ウがついた音符は次のA・B・Cのうちどの音になるか？,A,og001.png
記号エの読み方は？,タイ,og001.png
記号エの意味は？,高さが同じ２つの音をつなげる,og001.png
記号オの読み方は？,リタルダンド,og002.png
記号オの意味は？,だんだん遅く,og002.png
この曲の合唱の形態は、Ａ、Ｂ、Ｃで異なります。Aを何と言いますか。？,斉唱
この曲の合唱の形態は、Ａ、Ｂ、Ｃで異なります。Bを何と言いますか。？,二部合唱
この曲の合唱の形態は、Ａ、Ｂ、Ｃで異なります。Cを何と言いますか。？,三部合唱
楽譜の中で使われている三連符は、「（　①　）音符」の三連符である。①に当てはまる音符の種類を答えなさい。？,八分,og001.png
楽譜にある三連符の意味を、「四分音符」という言葉を必ず使って説明しなさい。？,八分音符3つを四分音符1つ分の長さにする,og001.png
タイとスラーの説明として正しいものを次の中から選びなさい。ア：タイは高さが同じ音をつなげ、スラーは高さの違う音をなめらかにつなげる。　　イ：タイは音を強くし、スラーは音を弱くする。　　ウ：タイはだんだん遅くし、スラーはほどよくのばす。　　エ：タイは休符にだけ使い、スラーは音符にだけ使う。？,ア



